Temperature,Pressure,CH4,CO,H2O,C2H6,CO2,N2
212.9079746749081,0.0020317221100346217,0.0009226211084329985,0.00019273485835230995,4.102414430740459e-08,6.923856840371108e-07,0.01,0.781
213.763401782372,0.0016144490190812346,0.000916063735513684,0.00021642480706682963,4.3193562848209736e-08,6.773473936271793e-07,0.01,0.781
214.9266941179038,0.001297566396839631,0.0009095063625943695,0.00024011475578134922,4.523199559814623e-08,6.623091032172479e-07,0.01,0.781
216.08998645343559,0.0010453375513309912,0.000902948989675055,0.00026421225507108827,4.634506961878589e-08,6.48675673629376e-07,0.01,0.781
217.25327878896735,0.0008440901027576281,0.0008963916167557405,0.00030086039496361044,5.050095989871783e-08,6.359202043871786e-07,0.01,0.781
218.41657112449914,0.0006831409139744723,0.0008726878039485081,0.00033750853485613283,5.8288378100730925e-08,6.231647351449811e-07,0.01,0.781
219.57986346003094,0.0005541218743282966,0.0008374688734927686,0.000374156674748655,7.28744589702409e-08,6.104092659027838e-07,0.01,0.781
220.80062743840205,0.0004513681498005442,0.000802249943037029,0.0004108048146411774,9.985070280405652e-08,5.976537966605863e-07,0.01,0.781
222.32517010035255,0.00037250781993428665,0.0007670310125812895,0.00044745295453369957,1.4820109958977626e-07,5.848983274183888e-07,0.01,0.781
223.84971276230306,0.0003082306476788769,0.0007318120821255499,0.0005092252825179065,2.2648418144366117e-07,5.633428454242482e-07,0.01,0.781
225.37425542425356,0.00025569906045300883,0.0006965931516698103,0.0005920445694747127,3.435278925048067e-07,5.360377954713804e-07,0.01,0.781
224.39843056252658,0.0001935040986562899,0.0006613742212140709,0.0006748638564315185,5.151899240113288e-07,5.087327455185128e-07,0.01,0.781
220.0217226705104,0.00012741528784554167,0.0006183709020889958,0.0007576831433883247,7.209107226047224e-07,4.81427695565645e-07,0.01,0.781
215.64501477849421,8.248724061406465e-05,0.0005746248487221458,0.0008405024303451305,9.86978871839326e-07,4.541226456127774e-07,0.01,0.781
211.268306886478,5.2447896895874824e-05,0.0005308787953552957,0.0009388978405094641,1.3020132288143613e-06,4.2649366235126176e-07,0.01,0.781
195.0976053790617,1.7509026857695797e-05,0.00048713274198844566,0.0010653505039285405,1.6204233929395382e-06,3.987818492114499e-07,0.01,0.781
179.94672020385303,5.138690576513915e-06,0.00044338668862159555,0.0011918031673476175,1.8301979309821986e-06,3.7107003607163784e-07,0.01,0.781
165.3970889154858,1.264985632259006e-06,0.0003996406352547456,0.001318255830766694,1.9382940420932286e-06,3.422428380808968e-07,0.01,0.781
151.12736959962936,2.44435293797868e-07,0.00035589458188789566,0.0014447084941857707,1.8869320584942693e-06,3.0482276955697714e-07,0.01,0.781
139.43263722798758,4.607970026536727e-08,0.00031214852852104566,0.0016547201756793935,1.7250900315671226e-06,2.6740270103305745e-07,0.01,0.781
128.15538518122645,6.805787830998833e-09,0.0002716563846191878,0.0018649774242114345,1.4715537541134196e-06,2.2998263250913744e-07,0.01,0.781
116.57688485914989,6.580763124731403e-10,0.00023553381533755632,0.002075234672743474,1.217306800691952e-06,1.9514014680258236e-07,0.01,0.781
105.75807883865488,4.516472261427531e-11,0.00019941124605592485,0.002285491921275513,9.873279316709524e-07,1.649143995633013e-07,0.01,0.781
97.67190455966951,3.5951665948315412e-12,0.00016328867677429338,0.002512501553131122,7.676439131795243e-07,1.346886523240202e-07,0.01,0.781
89.58573028068415,1.812293913530253e-13,0.00012716610749266192,0.002786871064500836,5.777088268627289e-07,1.0446290508473913e-07,0.01,0.781
85.03520616964595,1.985855095217899e-14,9.104353821103012e-05,0.003061240575870552,4.2822829039875797e-07,8.427952500264921e-08,0.01,0.781
81.24481197637155,2.3298643829705105e-15,5.492096892939865e-05,0.003335610087240266,3.1438807082844204e-07,7.312622900943694e-08,0.01,0.781
77.45441778309717,2.2163092175911736e-16,3.950854265097128e-05,0.0036099795986099794,2.2808645801948884e-07,6.197293301622465e-08,0.01,0.781
73.66402358982279,1.654956402144905e-17,3.105067203447909e-05,0.0038457977913145436,1.6475211748720112e-07,5.081963702301238e-08,0.01,0.781
73.67365093535818,7.942744941215593e-18,2.2592801417986813e-05,0.004080705585410265,1.1831989674203679e-07,3.9666341029799994e-08,0.01,0.781
73.7143750201637,3.877828358845987e-18,1.5097518996315357e-05,0.004315613379505983,8.454503457015001e-08,2.8513045036587724e-08,0.01,0.781
73.75509910496923,1.894743426308928e-18,1.3171996717915864e-05,0.004552335838570335,6.050473023134624e-08,1.735974904337544e-08,0.01,0.781
73.79582318977475,9.265215547514313e-19,1.1246474439516374e-05,0.004795518387157455,4.3405172666194284e-08,1.497918258230379e-08,0.01,0.781
73.83654727458028,4.534228153481162e-19,9.320952161116881e-06,0.005038700935744576,3.086216256092148e-08,1.2686905886963499e-08,0.01,0.781
73.8772713593858,2.220717770999946e-19,4.3336752981e-06,0.005281883484331698,2.2075988961646204e-08,1.0394629191623187e-08,0.01,0.781
73.91799544419133,1.088491289682353e-19,4.3336752981e-06,0.005583595670057505,1.5974583355215623e-08,8.102352496282897e-09,0.01,0.781
