Temperature,Pressure,CO2,O2,H2O,CO,O3,CH4,N2O,N2
229.6,0.008258,0.0003795,0.209,4.825e-06,1.85e-08,7.373e-06,1.7e-06,3.2e-07,0.781
236.5,0.005746,0.0003795,0.209,4.9e-06,2.009e-08,7.837e-06,1.7e-06,3.2e-07,0.781
243.4,0.004041,0.0003795,0.209,4.95e-06,2.22e-08,7.8e-06,1.7e-06,3.2e-07,0.781
250.4,0.002871,0.0003795,0.209,5.025e-06,2.497e-08,7.3e-06,1.7e-06,3.2e-07,0.781
257.3,0.00206,0.0003795,0.209,5.15e-06,2.824e-08,6.2e-06,1.7e-06,3.2e-07,0.781
264.2,0.001491,0.0003795,0.209,5.225e-06,3.241e-08,5.25e-06,1.7e-06,3.2e-07,0.781
270.6,0.00109,0.0003795,0.209,5.25e-06,3.717e-08,4.1e-06,1.7e-06,3.2e-07,0.781
270.7,0.0007978,0.0003795,0.209,5.225e-06,4.597e-08,3.1e-06,1.7e-06,3.2e-07,0.781
260.8,0.000425,0.0003795,0.209,5.1e-06,6.639e-08,1.8e-06,1.7e-06,3.2e-07,0.781
247.0,0.000219,0.0003795,0.209,4.75e-06,1.073e-07,1.1e-06,1.7e-06,3.2e-07,0.781
233.3,0.000109,0.0003795,0.209,4.2e-06,1.862e-07,7e-07,1.7e-06,3.2e-07,0.781
219.6,5.22e-05,0.0003795,0.209,3.5e-06,3.059e-07,3e-07,1.7e-06,3.2e-07,0.781
208.4,2.4e-05,0.0003795,0.209,2.825e-06,6.375e-07,2.5e-07,1.7e-06,3.2e-07,0.781
198.6,1.05e-05,0.0003795,0.209,2.05e-06,1.497e-06,3e-07,1.7e-06,3.2e-07,0.781
188.9,4.46e-06,0.0003795,0.209,1.33e-06,3.239e-06,5e-07,1.7e-06,3.2e-07,0.781
186.9,1.84e-06,0.0003795,0.209,8.5e-07,5.843e-06,7e-07,1.7e-06,3.2e-07,0.781
188.4,7.6e-07,0.0003795,0.209,5.4e-07,1.013e-05,7e-07,1.7e-06,3.2e-07,0.781
195.1,3.2e-07,0.0003795,0.209,4e-07,1.692e-05,4e-07,1.7e-06,3.2e-07,0.781
208.8,1.45e-07,0.0003795,0.209,3.4e-07,2.467e-05,2e-07,1.7e-06,3.2e-07,0.781
240.0,7.1e-08,0.0003795,0.209,2.8e-07,3.356e-05,5e-08,1.7e-06,3.2e-07,0.781
300.0,4.01e-08,0.0003795,0.209,2.4e-07,4.148e-05,5e-09,1.7e-06,3.2e-07,0.781
360.0,2.54e-08,0.0003795,0.209,2e-07,5e-05,5e-10,1.7e-06,3.2e-07,0.781
610.0,6.023e-09,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
759.0,2.614e-09,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
853.0,1.337e-09,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
911.0,7.427e-10,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
949.0,4.386e-10,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
973.0,2.681e-10,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
988.0,1.693e-10,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
998.0,1.097e-10,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
1000.0,7.234e-11,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
1010.0,4.9e-11,0.0003795,0.209,0.0,0.0,0.0,1.7e-06,3.2e-07,0.781
