Pressure,Temperature,CO2,N2,O2,H2O,CO,C2H6,HCN,SO2,O3,CH4,N2O,NH3,CH3Cl
0.1035,216.7,0.0003795,0.781,0.209,3.95e-06,3.069e-08,2.14e-10,1.52e-10,5.75e-11,8.701e-07,1.7e-06,3.2e-07,2.11e-13,4.77e-10
0.0885,216.7,0.0003795,0.781,0.209,3.85e-06,2.489e-08,1.49e-10,1.49e-10,5.37e-11,1.187e-06,1.7e-06,3.2e-07,1.1e-13,4.49e-10
0.07565,216.7,0.0003795,0.781,0.209,3.825e-06,1.966e-08,1.05e-10,1.45e-10,4.78e-11,1.587e-06,1.7e-06,3.2e-07,6.7e-14,4.21e-10
0.06467,216.7,0.0003795,0.781,0.209,3.85e-06,1.549e-08,7.96e-11,1.41e-10,3.97e-11,2.03e-06,1.7e-06,3.2e-07,3.97e-14,3.95e-10
0.05529,216.7,0.0003795,0.781,0.209,3.9e-06,1.331e-08,6.01e-11,1.37e-10,3.19e-11,2.579e-06,1.7e-06,3.2e-07,2.41e-14,3.69e-10
0.04729,217.6,0.0003795,0.781,0.209,3.975e-06,1.232e-08,4.57e-11,1.34e-10,2.67e-11,3.028e-06,1.7e-06,3.2e-07,1.92e-14,3.43e-10
0.04047,218.6,0.0003795,0.781,0.209,4.065e-06,1.232e-08,3.4e-11,1.3e-10,2.28e-11,3.647e-06,1.7e-06,3.2e-07,1.72e-14,3.17e-10
0.03467,219.6,0.0003795,0.781,0.209,4.2e-06,1.307e-08,2.6e-11,1.25e-10,2.07e-11,4.168e-06,1.7e-06,3.2e-07,1.59e-14,2.86e-10
0.02972,220.6,0.0003795,0.781,0.209,4.3e-06,1.4e-08,1.89e-11,1.19e-10,1.9e-11,4.627e-06,1.7e-06,3.2e-07,1.44e-14,2.48e-10
0.02549,221.6,0.0003795,0.781,0.209,4.425e-06,1.498e-08,1.22e-11,1.13e-10,1.75e-11,5.118e-06,1.7e-06,3.2e-07,1.23e-14,1.91e-10
0.01743,224.0,0.0003795,0.781,0.209,4.575e-06,1.598e-08,5.74e-12,1.05e-10,1.54e-11,5.803e-06,1.7e-06,3.2e-07,9.37e-15,1.1e-10
0.01197,226.5,0.0003795,0.781,0.209,4.725e-06,1.71e-08,2.14e-12,9.73e-11,1.34e-11,6.553e-06,1.7e-06,3.2e-07,6.35e-15,4.72e-11
0.008258,229.6,0.0003795,0.781,0.209,4.825e-06,1.85e-08,8.49e-13,9.04e-11,1.21e-11,7.373e-06,1.7e-06,3.2e-07,3.68e-15,1.79e-11
0.005746,236.5,0.0003795,0.781,0.209,4.9e-06,2.009e-08,3.42e-13,8.46e-11,1.16e-11,7.837e-06,1.7e-06,3.2e-07,1.82e-15,7.35e-12
0.004041,243.4,0.0003795,0.781,0.209,4.95e-06,2.22e-08,1.34e-13,8.02e-11,1.21e-11,7.8e-06,1.7e-06,3.2e-07,9.26e-16,3.03e-12
0.002871,250.4,0.0003795,0.781,0.209,5.025e-06,2.497e-08,5.39e-14,7.63e-11,1.36e-11,7.3e-06,1.7e-06,3.2e-07,2.94e-16,1.32e-12
0.00206,257.3,0.0003795,0.781,0.209,5.15e-06,2.824e-08,2.25e-14,7.3e-11,1.65e-11,6.2e-06,1.7e-06,3.2e-07,8.72e-17,8.69e-13
0.001491,264.2,0.0003795,0.781,0.209,5.225e-06,3.241e-08,1.04e-14,7e-11,2.1e-11,5.25e-06,1.7e-06,3.2e-07,2.98e-17,6.68e-13
0.00109,270.6,0.0003795,0.781,0.209,5.25e-06,3.717e-08,6.57e-15,6.7e-11,2.77e-11,4.1e-06,1.7e-06,3.2e-07,1.3e-17,5.6e-13
0.0007978,270.7,0.0003795,0.781,0.209,5.225e-06,4.597e-08,4.74e-15,6.43e-11,3.56e-11,3.1e-06,1.7e-06,3.2e-07,7.13e-18,4.94e-13
0.000425,260.8,0.0003795,0.781,0.209,5.1e-06,6.639e-08,3.79e-15,6.21e-11,4.59e-11,1.8e-06,1.7e-06,3.2e-07,4.8e-18,4.56e-13
0.000219,247.0,0.0003795,0.781,0.209,4.75e-06,1.073e-07,3.28e-15,6.02e-11,5.15e-11,1.1e-06,1.7e-06,3.2e-07,3.66e-18,4.32e-13
0.000109,233.3,0.0003795,0.781,0.209,4.2e-06,1.862e-07,2.98e-15,5.88e-11,5.11e-11,7e-07,1.7e-06,3.2e-07,3e-18,4.17e-13
5.22e-05,219.6,0.0003795,0.781,0.209,3.5e-06,3.059e-07,2.79e-15,5.75e-11,4.32e-11,3e-07,1.7e-06,3.2e-07,2.57e-18,4.05e-13
2.4e-05,208.4,0.0003795,0.781,0.209,2.825e-06,6.375e-07,2.66e-15,5.62e-11,2.83e-11,2.5e-07,1.7e-06,3.2e-07,2.27e-18,3.96e-13
1.05e-05,198.6,0.0003795,0.781,0.209,2.05e-06,1.497e-06,2.56e-15,5.5e-11,1.33e-11,3e-07,1.7e-06,3.2e-07,2.04e-18,3.89e-13
4.46e-06,188.9,0.0003795,0.781,0.209,1.33e-06,3.239e-06,2.49e-15,5.37e-11,5.56e-12,5e-07,1.7e-06,3.2e-07,1.85e-18,3.83e-13
1.84e-06,186.9,0.0003795,0.781,0.209,8.5e-07,5.843e-06,2.43e-15,5.25e-11,2.24e-12,7e-07,1.7e-06,3.2e-07,1.71e-18,3.78e-13
7.6e-07,188.4,0.0003795,0.781,0.209,5.4e-07,1.013e-05,2.37e-15,5.12e-11,8.96e-13,7e-07,1.7e-06,3.2e-07,1.59e-18,3.73e-13
3.2e-07,195.1,0.0003795,0.781,0.209,4e-07,1.692e-05,2.33e-15,5e-11,3.58e-13,4e-07,1.7e-06,3.2e-07,1.48e-18,3.69e-13
1.45e-07,208.8,0.0003795,0.781,0.209,3.4e-07,2.467e-05,2.29e-15,4.87e-11,1.43e-13,2e-07,1.7e-06,3.2e-07,1.4e-18,3.66e-13
7.1e-08,240.0,0.0003795,0.781,0.209,2.8e-07,3.356e-05,2.25e-15,4.75e-11,5.73e-14,5e-08,1.7e-06,3.2e-07,1.32e-18,3.62e-13
4.01e-08,300.0,0.0003795,0.781,0.209,2.4e-07,4.148e-05,2.22e-15,4.62e-11,2.29e-14,5e-09,1.7e-06,3.2e-07,1.25e-18,3.59e-13
2.54e-08,360.0,0.0003795,0.781,0.209,2e-07,5e-05,2.19e-15,4.5e-11,9.17e-15,5e-10,1.7e-06,3.2e-07,1.19e-18,3.56e-13
6.023e-09,610.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
2.614e-09,759.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
1.337e-09,853.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
7.427e-10,911.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
4.386e-10,949.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
2.681e-10,973.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
1.693e-10,988.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
1.097e-10,998.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
7.234e-11,1000.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
4.9e-11,1010.0,0.0003795,0.781,0.209,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,3.2e-07,0.0,0.0
